"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"CH3L1",1.3793,1.5887,1.5704,1.5381,1.5312,1.531,1.5305,1.5303
"HEMO",1.3689,1.2421,1.1974,1.1976,1.1923,1.1928,1.1925,1.1923
"CO6A2",1.3667,1.0913,1.058,1.0543,1.0691,1.0679,1.0677,1.0675
"KV37",1.361,1.184,1.1397,1.1142,1.1072,1.1057,1.1051,1.105
"DHPR",1.3523,1.12,1.079,1.0678,1.0609,1.0594,1.0589,1.0588
"MA1C1",1.3462,1.1386,1.0962,1.1122,1.1092,1.1115,1.1111,1.111
"A1BG",1.3428,1.5197,1.5021,1.4689,1.4604,1.4582,1.4578,1.4576
"CHRD",1.3401,1.1355,1.0974,1.0725,1.0656,1.0667,1.0676,1.0675
"TPP1",1.3369,1.101,1.0871,1.0673,1.0627,1.068,1.0676,1.0682
"APLP1",1.3352,1.0924,1.1837,1.2477,1.2398,1.2386,1.2381,1.2379
"EGFLA",1.3305,1.0895,1.0507,1.0273,1.0369,1.0366,1.0362,1.0366
"CBPQ",1.329,1.0736,1.1321,1.1229,1.1156,1.1146,1.1147,1.1148
"LTBP4",1.3115,1.1361,1.105,1.0887,1.0823,1.0814,1.0858,1.0857
"DKK3",1.3066,1.0438,1.1023,1.162,1.1573,1.1573,1.1569,1.1568
"NPC2",1.3019,1.0399,1.073,1.0488,1.042,1.0466,1.0488,1.0487
"HBB",1.2969,1.0943,1.0605,1.0392,1.0343,1.0328,1.0328,1.0328
"C1QA",1.2955,1.0441,1.0063,0.98752,0.98578,0.98694,0.98666,0.98654
"SAP3",1.2926,1.0322,1.0783,1.0704,1.082,1.0805,1.0803,1.0801
"TAGL",1.2901,1.0978,1.0783,1.0557,1.0853,1.0839,1.0835,1.0834
"AFAM",1.2899,1.3012,1.2923,1.2679,1.2601,1.2584,1.2577,1.2577
"COCA1",1.2883,1.1255,1.1187,1.0998,1.0942,1.0931,1.093,1.0929
"LV39",1.2824,1.1194,1.0928,1.0921,1.085,1.0836,1.0833,1.0832
"PEDF",1.2805,1.0245,1.0786,1.0771,1.0701,1.0698,1.073,1.0728
"RELN",1.2733,1.0193,1.1776,1.1519,1.1445,1.1443,1.1444,1.1443
"C1QT3",1.269,1.0177,1.0097,1.0405,1.0346,1.0331,1.0326,1.0333
"CFAB",1.2671,1.352,1.3065,1.2944,1.2878,1.2862,1.2856,1.2854
"SAA4",1.2642,1.136,1.1134,1.1045,1.1043,1.1027,1.1027,1.1026
"HV118",1.2632,1.0552,1.017,1.1192,1.143,1.1425,1.1421,1.1422
"CIP4",1.2612,1.4609,1.4183,1.3998,1.4374,1.4363,1.4357,1.4355
"AEBP1",1.2611,1.1262,1.0956,1.115,1.1079,1.108,1.108,1.108
"COFA1",1.2592,1.0902,1.0773,1.0551,1.0528,1.0514,1.0556,1.0555
"GDIA",1.2478,1.0099,0.9733,0.95938,0.9604,0.95893,0.9586,0.95848
"CLC11",1.2467,1.0066,0.97243,0.95139,0.96808,0.96776,0.96747,0.96743
"HPT",1.2451,1.0466,1.011,1.0255,1.0213,1.0211,1.0206,1.0207
"HBA",1.245,1.0805,1.0536,1.0296,1.0229,1.0218,1.0218,1.0219
"RNAS4",1.2402,1.0148,0.98057,0.9596,0.98578,0.98519,0.98479,0.98467
"C4BPA",1.2264,1.1645,1.1332,1.1248,1.1183,1.1176,1.1172,1.1174
"APLP2",1.2168,1.1776,1.1443,1.1218,1.1169,1.1155,1.1151,1.115
"ALBU",1.2151,1.3087,1.3487,1.3181,1.3158,1.3158,1.3154,1.3152
"CNTN6",1.2114,0.98915,0.96094,0.94371,0.94015,0.94112,0.9411,0.94098
"LDHB",1.2108,1.2512,1.2446,1.2546,1.248,1.2468,1.2462,1.246
"SPON1",1.2046,1.0472,1.014,0.99281,0.9884,0.98877,0.99115,0.99102
"EPDR1",1.191,0.96492,0.9733,1.0522,1.0546,1.053,1.0525,1.0524
"ICAM5",1.1781,1.1498,1.1492,1.1348,1.1365,1.1353,1.1349,1.1347
"TIMP2",1.1716,1.0242,0.99272,0.97856,0.97712,0.97745,0.977,0.97712
"FGFR2",1.1716,1.0256,0.99091,0.96838,0.96749,0.96813,0.96855,0.96847
"PTPRF",1.1696,1.3265,1.2809,1.2626,1.2579,1.2565,1.256,1.2558
"SGCE",1.1682,1.022,1.0059,1.0094,1.0072,1.006,1.0056,1.0055
"RTN4R",1.1671,0.96276,0.96242,0.98262,0.97705,0.97637,0.97629,0.97617
"CNTP2",1.1553,0.92361,0.89111,0.88644,0.91126,0.90995,0.90951,0.90953
"IGA2",1.1526,0.9199,0.8896,0.88706,0.90213,0.90178,0.90138,0.90126
"LV310",1.134,0.97349,0.95378,0.94186,0.95269,0.95189,0.95142,0.95129
"LV657",1.1265,0.99307,0.97683,0.9629,0.99535,0.99464,0.99458,0.99448
"IGK",1.1123,0.89932,0.86889,0.8519,0.86398,0.86271,0.86479,0.86568
"FRIL",1.1024,0.9556,0.93946,0.92658,0.92063,0.91975,0.9193,0.91918
"NID2",1.099,1.2181,1.175,1.1558,1.154,1.1572,1.157,1.1569
"KLKB1",1.0972,1.3243,1.2755,1.254,1.2458,1.2439,1.2444,1.2444
"CAHD1",1.0916,0.90263,0.95778,0.9947,0.98853,0.98736,0.98695,0.98693
"SAP",1.0897,0.87414,0.84637,0.83,0.83717,0.8383,0.83853,0.83848
"FUCO2",1.0887,0.87174,0.84363,0.8573,0.87151,0.8708,0.87037,0.87074
"TRFE",1.083,1.2735,1.3121,1.2998,1.3081,1.308,1.3074,1.3073
"KNG1",1.068,1.4119,1.3641,1.3803,1.374,1.3728,1.3722,1.372
"VWF",1.0651,0.96627,0.96203,0.94289,0.93721,0.93577,0.93531,0.93522
"HEXB",1.0572,0.84363,0.8397,0.83859,0.83674,0.83613,0.83588,0.83578
"KPYM",1.0561,1.1527,1.1905,1.176,1.1737,1.1719,1.1715,1.1714
"SLIK1",1.0531,0.84778,0.81612,0.82766,0.83903,0.83801,0.83762,0.83754
"FGFR1",1.0522,0.88501,0.85508,0.93555,0.93515,0.93372,0.93338,0.93342
"NCAN",1.0481,1.0088,0.97983,0.97573,0.97034,0.96944,0.96914,0.96909
"H6ST3",1.0462,0.91172,0.8838,0.89451,0.89606,0.89473,0.89445,0.89433
"APOB",1.046,0.85946,0.84354,0.82926,0.82507,0.82644,0.82649,0.82667
"CO4B",1.0425,1.0119,1.0188,1.0074,1.0008,1.0009,1.0007,1.001
"CPVL",1.0411,0.85282,0.82688,0.82281,0.82432,0.82307,0.82304,0.82329
"PTPRZ",1.0367,1.1399,1.1507,1.1264,1.1196,1.1179,1.118,1.1179
"ROBO1",1.0359,1.2904,1.2983,1.2695,1.262,1.2603,1.2597,1.2596
"C163A",1.0349,0.88961,0.87113,0.85159,0.84954,0.84885,0.85014,0.85003
"B4GA1",1.0345,1.104,1.2876,1.2742,1.2658,1.2641,1.2635,1.2633
"KV127",1.034,1.1003,1.0634,1.0624,1.0572,1.0574,1.0571,1.0571
"NAR3",1.0237,1.3027,1.2714,1.2587,1.2506,1.2487,1.2482,1.2485
"MYO6",1.0226,1.0818,1.0463,1.0333,1.0386,1.0406,1.0406,1.0408
"MANBA",1.0222,1.0309,1.0036,0.99657,0.99017,0.98903,0.98896,0.98888
"SODM",1.0161,0.84197,0.83139,0.83997,0.84323,0.84227,0.84192,0.84193
"FIBG",1.0147,1.146,1.1114,1.1562,1.1506,1.1499,1.1496,1.1496
"CNTP4",1.0135,0.8547,0.893,0.87315,0.87376,0.87402,0.87525,0.87514
"HV349",1.0109,0.96662,0.94397,1.0093,1.0038,1.0029,1.0026,1.0024
"A2AP",1.0102,1.0564,1.0306,1.0217,1.0216,1.0224,1.022,1.0219
"VTNC",0.99403,1.0503,1.0284,1.0441,1.0612,1.0624,1.0621,1.062
"EPHA4",0.99243,0.93158,1.1227,1.1213,1.1141,1.1127,1.1122,1.1121
"MIA",0.98152,0.92542,0.93791,0.91649,0.91194,0.91122,0.91081,0.91078
"NEDD1",0.97545,0.78022,0.7802,0.7699,0.77296,0.7718,0.77254,0.77264
"RENR",0.9678,1.2181,1.1764,1.1674,1.165,1.1648,1.1647,1.1647
"PLD4",0.96617,0.86145,0.83349,0.82087,0.84726,0.84678,0.84637,0.84639
"ENPL",0.96465,0.77231,0.79226,0.77468,0.79431,0.79327,0.79436,0.79468
"LRP1",0.96087,0.77617,0.75035,0.74709,0.74227,0.74132,0.74531,0.74574
"MIME",0.95943,0.94408,1.0502,1.0267,1.0213,1.0263,1.0263,1.0262
"SHPS1",0.95564,0.83513,0.82715,0.80948,0.81039,0.81193,0.81221,0.81212
"PROS",0.95425,0.97498,1.0037,0.99091,0.98456,0.98377,0.98656,0.98645
"HGFA",0.95104,0.7601,0.77793,0.78307,0.78503,0.78417,0.784,0.78391
"CO8B",0.9449,0.83872,0.80871,0.83167,0.82751,0.8273,0.82731,0.82743
"CHAD",0.94347,1.0379,0.99904,0.97745,0.98527,0.98393,0.98369,0.98364
"PIMT",0.94229,0.94908,0.92568,0.97175,0.96616,0.96721,0.96754,0.96805
"GUAD",0.93179,0.74584,0.72025,0.70398,0.6996,0.70439,0.70413,0.70468
"CD166",0.92957,1.293,1.3161,1.2953,1.2974,1.2964,1.2965,1.2963
"HV315",0.92512,0.76418,0.8024,0.79086,0.7913,0.79253,0.79221,0.7921
"ASPG",0.92508,0.90321,0.89345,0.89386,0.90926,0.90883,0.90867,0.90856
"LTBP2",0.9212,0.7352,0.72279,0.75691,0.75421,0.75685,0.75752,0.75749
"AP2B1",0.91917,0.75063,0.72637,0.71822,0.72724,0.72615,0.72604,0.72636
"ENPP2",0.91309,1.0689,1.0294,1.0273,1.0208,1.0275,1.0281,1.0283
"SAMP",0.9089,1.0738,1.0341,1.0391,1.0429,1.0417,1.0418,1.0416
"ITIH5",0.90648,0.72649,0.81079,0.84556,0.84653,0.8461,0.84765,0.84777
"MA1A1",0.90299,0.77512,0.76037,0.8007,0.82199,0.82406,0.82552,0.82545
