"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"AMBP",0.79617,0.91981,0.95417,0.95082,0.94865,0.94797,0.94791,0.9479
"CAD15",0.79304,0.77326,0.76325,0.76151,0.76194,0.76135,0.76125,0.76125
"LV208",0.79264,0.77348,0.77427,0.77391,0.77385,0.77441,0.77453,0.77452
"PGK1",0.78957,0.74875,0.74022,0.73798,0.73636,0.7365,0.73759,0.73757
"PEBP4",0.78935,0.79634,0.8269,0.82562,0.82641,0.82885,0.8289,0.82889
"MGP",0.78882,0.79544,0.78465,0.80539,0.82353,0.82288,0.82275,0.82278
"HV551",0.78874,0.79577,0.78649,0.78369,0.78264,0.78202,0.7819,0.78188
"CYC",0.78548,0.74443,0.73578,0.735,0.73331,0.73308,0.733,0.733
"PROF1",0.78537,0.79857,0.78814,0.78767,0.78882,0.78873,0.78866,0.78865
"KV106",0.78415,0.76539,0.76132,0.75871,0.75728,0.7571,0.75699,0.75703
"TSP4",0.78077,0.80204,0.79546,0.79463,0.7942,0.79544,0.79537,0.79535
"CNTN4",0.77405,0.92686,0.9242,0.92102,0.91932,0.91869,0.91859,0.91857
"LV147",0.76957,0.90139,0.88887,0.88588,0.88529,0.88496,0.88483,0.88481
"ATRN",0.75532,0.73034,0.75817,0.75547,0.7563,0.75757,0.75748,0.75753
"KV320",0.75336,0.94185,0.93363,0.93032,0.92942,0.92869,0.92887,0.92887
"NPTXR",0.75269,0.73511,0.7312,0.72932,0.73112,0.73053,0.73046,0.7305
"CANT1",0.7521,0.73431,0.73063,0.7318,0.73179,0.73246,0.73236,0.73242
"T132A",0.7502,0.76847,0.76198,0.75926,0.75773,0.75719,0.75712,0.75712
"COIA1",0.74597,0.75227,0.74232,0.74244,0.74145,0.74163,0.74183,0.74182
"FUCO",0.7339,0.74172,0.76052,0.76811,0.76634,0.76572,0.76649,0.76651
"QSOX1",0.73326,0.70456,0.69498,0.69284,0.69397,0.6974,0.69771,0.6977
"PGS2",0.72087,0.7156,0.70628,0.70519,0.70464,0.70423,0.70449,0.70458
"GLDN",0.71834,0.69836,0.71972,0.71832,0.71788,0.71731,0.7174,0.7174
"LAMP1",0.71214,0.76156,0.75189,0.74988,0.74909,0.74913,0.74969,0.74973
"TAGL",0.71124,0.68273,0.67857,0.67944,0.6865,0.68598,0.68587,0.68589
"CYTM",0.71058,0.68748,0.67944,0.68043,0.68043,0.67992,0.67985,0.67986
"SEZ6",0.71046,0.67641,0.67743,0.68411,0.68835,0.69112,0.69115,0.69118
"SPB6",0.70309,0.67209,0.67149,0.67004,0.67417,0.674,0.67479,0.6748
"CATZ",0.70091,0.66674,0.67402,0.69062,0.69246,0.69245,0.69396,0.69398
"CO6A2",0.69946,0.70407,0.69948,0.69881,0.69752,0.69695,0.69689,0.69688
"KV401",0.69823,0.91223,0.89994,0.89684,0.89484,0.89571,0.89561,0.8957
"APOC2",0.69803,0.68156,0.67277,0.67959,0.67837,0.681,0.68158,0.68162
"DAG1",0.69355,0.66504,0.67648,0.67839,0.67688,0.67881,0.6793,0.67932
"CCKN",0.68377,0.64956,0.64093,0.64927,0.65378,0.65357,0.6535,0.65349
"PI16",0.68331,0.64857,0.68327,0.68089,0.68101,0.68399,0.68393,0.684
"MA1A1",0.67301,0.65145,0.64241,0.64498,0.64418,0.64427,0.64417,0.64442
"CO4A2",0.6682,0.64529,0.72348,0.72947,0.72812,0.72843,0.72852,0.72881
"CO1A1",0.66694,0.66597,0.6827,0.68035,0.67929,0.67945,0.67935,0.67933
"CBPB2",0.665,0.64556,0.64127,0.64124,0.64023,0.64019,0.64011,0.6401
"CATS",0.66344,0.63266,0.62949,0.62726,0.64081,0.64292,0.64309,0.64315
"CADM4",0.66026,0.62822,0.80582,0.80401,0.8038,0.80454,0.80469,0.8047
"PLXB1",0.65353,0.61942,0.62301,0.62094,0.61986,0.61936,0.61933,0.61932
"SPRC",0.64739,0.80431,0.79627,0.79824,0.79641,0.7963,0.79618,0.79616
"CMGA",0.64703,0.71536,0.72645,0.72428,0.7293,0.72945,0.72946,0.72944
"PHLD",0.64522,0.64811,0.67347,0.67554,0.67398,0.67675,0.67671,0.6767
"DNER",0.6428,0.61951,0.61231,0.61013,0.60918,0.60901,0.60904,0.60908
"IGHM",0.63849,0.65926,0.65514,0.66414,0.66374,0.6634,0.66331,0.6633
"SODM",0.63476,0.61017,0.60381,0.61815,0.61698,0.62821,0.62812,0.62811
"MIA",0.63369,0.61487,0.60811,0.61712,0.6188,0.61916,0.61911,0.61911
"ITIH4",0.63332,0.80437,0.86412,0.86637,0.86524,0.86516,0.86514,0.86513
"NTRI",0.6297,0.65203,0.67307,0.69574,0.69897,0.69854,0.69843,0.69843
"KVD21",0.62601,0.59617,0.58991,0.59056,0.59128,0.59096,0.59095,0.59095
"H6ST3",0.62192,0.60119,0.59362,0.59324,0.5978,0.59732,0.59782,0.59798
"TSP1",0.62121,0.81385,0.8153,0.81243,0.8174,0.81674,0.81662,0.81662
"NEUS",0.62056,0.64296,0.65575,0.65433,0.66474,0.66429,0.66459,0.66465
"NELL2",0.61645,0.64761,0.67145,0.69273,0.69859,0.69814,0.69806,0.69804
"CALB1",0.61531,0.64254,0.64265,0.64207,0.64155,0.64396,0.64387,0.64388
"FIBA",0.6115,0.87146,0.86475,0.8658,0.8638,0.87117,0.87104,0.87102
"CBR1",0.60977,0.58769,0.61882,0.61666,0.61677,0.62313,0.62359,0.62364
"BTD",0.60953,0.65058,0.6935,0.69909,0.71882,0.71896,0.71886,0.71884
"LEG7",0.59946,0.57687,0.57471,0.57803,0.58575,0.58546,0.58558,0.58558
"WFKN2",0.59579,0.5965,0.58831,0.58865,0.5881,0.5881,0.58802,0.58818
"FHR2",0.59394,0.72652,0.73052,0.72796,0.73316,0.73815,0.73841,0.73845
"HV374",0.59224,0.56645,0.56455,0.56831,0.5711,0.57323,0.57336,0.57335
"SPON1",0.59025,0.71455,0.73254,0.74063,0.7526,0.75228,0.75218,0.7523
"CNTN1",0.59021,0.56226,0.59208,0.61794,0.61872,0.61983,0.61974,0.61983
"IBP4",0.58989,0.58692,0.61312,0.61565,0.61441,0.61473,0.61549,0.61548
"FA12",0.58963,0.79981,0.79002,0.78992,0.79248,0.79247,0.79235,0.79234
"EGFLA",0.58284,0.61364,0.62438,0.62314,0.6226,0.62215,0.62207,0.62206
"SNED1",0.5813,0.55892,0.55124,0.55088,0.55011,0.55248,0.55303,0.55311
"IMPA3",0.58027,0.67098,0.66389,0.67286,0.67886,0.67842,0.67855,0.67854
"IGD",0.57639,0.83497,0.85238,0.85216,0.85098,0.85039,0.85028,0.8503
"FAM3C",0.57577,0.71758,0.71402,0.72929,0.73107,0.73081,0.73081,0.73098
"CO5",0.57434,0.79911,0.86218,0.85947,0.85822,0.85753,0.85743,0.85754
"MRC2",0.57389,0.54461,0.57132,0.57275,0.57281,0.57491,0.57617,0.57616
"LAMB1",0.57178,0.54204,0.53858,0.53862,0.53798,0.53755,0.53796,0.53796
"C1QC",0.56991,0.54765,0.55881,0.57909,0.57869,0.57891,0.57882,0.57886
"DKK3",0.56552,0.6473,0.68591,0.70426,0.70819,0.70966,0.70956,0.70956
"PTPRD",0.56323,0.67075,0.66509,0.66973,0.67332,0.67398,0.67389,0.67405
"MFAP4",0.56249,0.58143,0.57341,0.57296,0.57178,0.57185,0.57224,0.57225
"KCC2A",0.56226,0.5333,0.63036,0.63112,0.63633,0.63585,0.63634,0.63634
"LV223",0.55699,0.5727,0.64103,0.64311,0.64412,0.64611,0.64602,0.646
"FBN1",0.54914,0.52673,0.56173,0.56835,0.57274,0.57231,0.57321,0.57321
"LV39",0.54658,0.51894,0.54328,0.54144,0.54829,0.54937,0.54976,0.55003
"KLKB1",0.54238,0.52732,0.54721,0.55097,0.56161,0.5627,0.56302,0.56301
"ERAP1",0.53973,0.58426,0.57725,0.57753,0.58113,0.58097,0.5814,0.58139
"CNTN3",0.53384,0.52747,0.58748,0.58538,0.59149,0.5934,0.59606,0.59606
"ENPL",0.53239,0.53237,0.56873,0.58983,0.58893,0.59065,0.59087,0.59096
"CFAD",0.52807,0.53005,0.66708,0.66574,0.66448,0.66517,0.66514,0.66523
"GFRA2",0.52125,0.74144,0.73114,0.73364,0.73346,0.7347,0.7349,0.7349
"DIAC",0.5209,0.53976,0.5906,0.60135,0.6,0.59986,0.60006,0.6003
"SEM7A",0.52055,0.71235,0.70573,0.70382,0.71709,0.71658,0.71657,0.7167
"GNPTG",0.51673,0.49171,0.56379,0.56468,0.56703,0.56747,0.5675,0.56757
"KV224",0.51632,0.49773,0.49637,0.50357,0.50359,0.50626,0.50618,0.50617
"WBP2",0.51543,0.49182,0.53458,0.53407,0.5346,0.53679,0.53722,0.53723
"VWF",0.51273,0.55693,0.55361,0.55469,0.55572,0.55631,0.55625,0.55624
"MUC18",0.51232,0.51243,0.50558,0.51612,0.52549,0.52753,0.52797,0.52796
"IPSP",0.5116,0.56923,0.56445,0.56629,0.57501,0.5769,0.57752,0.57752
"LV310",0.50948,0.717,0.71353,0.71104,0.70943,0.7089,0.70886,0.70885
"CAH4",0.50358,0.59624,0.58848,0.58828,0.58818,0.58855,0.58847,0.58856
"SEM6D",0.50352,0.78397,0.81516,0.81249,0.81195,0.81132,0.81174,0.81172
"NEGR1",0.50123,0.69183,0.68226,0.69838,0.70501,0.70577,0.70572,0.70571
"PRG4",0.49783,0.49584,0.50264,0.50183,0.50732,0.5075,0.50796,0.50803
"PARK7",0.49631,0.49309,0.51237,0.5108,0.51355,0.51337,0.51356,0.51362
"CO8B",0.49556,0.57806,0.59176,0.5919,0.60083,0.60148,0.6014,0.60144
"MDGA1",0.4953,0.71738,0.71473,0.71228,0.71182,0.71292,0.71288,0.71287
"CSTN1",0.49048,0.49969,0.54824,0.57925,0.58411,0.58375,0.58366,0.58366
"OMD",0.48164,0.45677,0.45725,0.46415,0.47065,0.47119,0.4713,0.47134
"PLD3",0.47644,0.64986,0.70746,0.70587,0.70858,0.708,0.70791,0.70789
